Gene_ID,SRR10416996,SRR10416997,SRR10416998,SRR10417001,SRR10417002,SRR10417003,SRR10417006,SRR10417007,SRR10417008
ENSG00000290825.1,0,0,0,0,0,0,0,0,0
ENSG00000223972.6,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,19,4,12,10,2,1,12,11,14
ENSG00000278267.1,2,1,0,0,0,0,1,2,1
ENSG00000243485.5,0,0,0,0,0,0,1,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,0,0,0,0,0,4,3,6,4
ENSG00000239945.1,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,1,0,0,1,0,0,0,1,0
ENSG00000268903.1,2,0,9,1,2,2,104,82,89
ENSG00000269981.1,4,0,1,0,2,2,42,49,34
ENSG00000239906.1,0,0,0,0,0,0,0,0,0
ENSG00000241860.7,0,0,1,0,1,0,1,0,4
ENSG00000222623.1,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,0,1,0,0,0,0,0,0,0
ENSG00000279457.4,35,67,46,24,22,25,93,67,48
ENSG00000273874.1,4,1,0,0,0,0,0,0,0
ENSG00000228463.10,6,17,1,25,4,5,34,18,28
ENSG00000286448.1,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,1,0,3,0,0,1,1,1,0
ENSG00000236601.2,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,5,2,5,7,6,6,34,17,27
ENSG00000269732.1,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,1,0,0,0,0,0
ENSG00000250575.1,0,0,1,1,0,0,5,3,1
ENSG00000278757.1,0,0,0,0,0,0,0,1,0
ENSG00000230021.10,0,2,2,1,1,0,0,2,3
ENSG00000235146.2,0,0,0,0,0,0,0,0,0
ENSG00000225972.1,14,12,10,13,2,2,14,10,6
ENSG00000225630.1,8259,9267,11039,10645,2766,15,7109,5650,4256
ENSG00000237973.1,3867,4726,4831,4846,962,1695,5398,4041,3576
ENSG00000278791.1,0,0,0,0,0,0,0,0,0
ENSG00000229344.1,71,89,117,69,29,24,49,38,25
ENSG00000240409.1,15,14,27,7,4,5,10,13,9
ENSG00000248527.1,27885,30421,39151,24815,7330,16,23916,20067,15382
ENSG00000198744.5,203,136,44,51,8,18,116,222,34
ENSG00000268663.1,0,0,0,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,0,0,0,0,0,0,0,0,0
ENSG00000291215.1,19,13,11,17,14,11,28,19,37
ENSG00000223181.1,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0,0,0
ENSG00000228327.6,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,16,17,29,27,26,15,46,24,21
ENSG00000285268.1,0,0,0,0,0,0,0,0,0
ENSG00000290784.1,6,3,6,4,2,4,2,0,5
ENSG00000230092.8,0,0,0,0,0,0,0,0,0
ENSG00000177757.2,37,28,60,61,32,98,18,4,12
ENSG00000225880.6,29,14,36,22,20,27,22,13,14
ENSG00000228794.12,456,419,474,643,331,635,354,235,271
ENSG00000288531.1,0,0,0,0,0,0,0,0,0
ENSG00000230368.2,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,0,0,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,0,3,1,3,5,0,3,0,2
ENSG00000230699.2,6,21,8,15,19,21,5,0,0
ENSG00000241180.1,0,0,0,0,1,0,0,0,0
ENSG00000223764.2,334,429,361,179,364,252,81,34,6
ENSG00000187634.13,319,346,252,179,716,485,58,30,16
ENSG00000188976.11,1919,1529,1644,1530,2512,2069,1255,1195,1354
ENSG00000187961.15,848,682,834,576,539,606,644,527,427
ENSG00000187583.11,116,69,93,27,101,59,78,101,35
ENSG00000187642.10,0,4,0,0,2,3,2,2,0
ENSG00000272512.1,0,0,0,0,0,0,4,0,4
ENSG00000188290.11,40,59,30,17,19,7,63,23,34
ENSG00000187608.10,589,435,340,385,386,281,241,222,459
ENSG00000231702.2,1,0,0,0,0,0,2,0,0
ENSG00000224969.1,0,1,0,1,0,0,1,0,0
ENSG00000188157.15,1504,2213,1621,2953,742,906,3086,2729,2989
ENSG00000242590.1,0,0,0,0,0,0,0,0,0
ENSG00000291156.1,0,0,0,4,0,0,21,32,24
ENSG00000273443.1,0,0,0,0,0,0,2,3,3
ENSG00000217801.13,0,0,3,0,0,1,4,6,8
ENSG00000237330.3,0,0,2,0,0,0,0,0,0
ENSG00000131591.18,329,280,276,239,175,283,377,314,272
ENSG00000285812.1,5,0,0,7,2,2,0,0,0
ENSG00000223823.1,0,0,0,0,0,0,0,0,0
ENSG00000207730.3,0,0,0,0,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,0,1,0,0
ENSG00000198976.1,0,0,0,0,0,0,0,0,0
ENSG00000272141.1,0,0,0,0,0,0,0,0,0
ENSG00000205231.1,0,0,0,0,0,0,0,0,0
ENSG00000162571.14,0,0,0,0,0,0,0,0,0
ENSG00000186891.14,0,0,4,3,14,0,127,67,66
ENSG00000186827.12,2,2,1,6,0,2,50,18,20
ENSG00000078808.20,10435,9765,9248,9259,7613,10292,7163,6768,7670
ENSG00000176022.7,952,949,650,747,896,1319,838,591,697
ENSG00000184163.3,25,48,31,16,17,16,26,12,6
ENSG00000260179.1,0,0,0,4,2,4,4,5,6
ENSG00000160087.21,1060,1068,916,975,1192,1178,1083,856,989
ENSG00000230415.1,28,17,24,32,5,13,45,43,23
ENSG00000162572.21,152,150,143,189,70,87,241,183,152
ENSG00000131584.19,2801,2903,2937,2182,1534,2148,2381,1817,1812
ENSG00000278073.1,0,0,2,0,1,0,0,1,1
ENSG00000169972.13,272,293,260,291,339,355,185,113,161
ENSG00000127054.22,1978,1979,1684,2246,2088,2121,2114,1713,2068
ENSG00000283712.1,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,72,62,54,52,35,56,62,50,46
ENSG00000224051.7,555,639,441,448,603,666,567,533,636
ENSG00000169962.5,10,16,22,2,12,9,24,12,6
ENSG00000107404.21,2585,2838,2374,2136,2357,2472,1473,1099,1018
ENSG00000284372.1,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,11928,11367,10937,17869,14223,17911,2640,1733,1020
ENSG00000175756.14,1389,1274,965,1047,1602,1484,965,858,1023
ENSG00000223663.2,0,1,0,0,0,0,0,0,0
ENSG00000221978.13,11690,9733,9203,12213,4017,6133,8449,5943,5322
ENSG00000224870.9,384,340,365,506,334,452,462,361,364
ENSG00000242485.6,1387,1458,1126,1172,1481,1483,895,692,964
ENSG00000264293.2,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,73,50,59,46,68,48,41,13,11
ENSG00000235098.9,118,67,77,143,95,123,12,12,2
ENSG00000225905.1,9,3,0,0,4,0,0,4,0
ENSG00000205116.4,0,3,1,0,2,0,12,6,0
ENSG00000225285.1,0,2,0,2,0,0,0,0,0
ENSG00000179403.12,517,270,321,215,175,439,153,94,26
ENSG00000215915.10,15,8,3,11,19,19,11,2,11
ENSG00000160072.20,797,818,727,756,641,675,479,341,395
ENSG00000290916.1,3,2,1,2,0,0,0,1,0
ENSG00000284740.3,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,680,741,629,515,937,894,351,306,318
ENSG00000205090.10,80,66,57,108,40,102,13,8,5
ENSG00000160075.12,2207,2599,1744,2447,2127,2532,2257,1829,2401
ENSG00000215014.5,34,28,18,26,19,22,30,30,39
ENSG00000274481.1,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,151,225,142,162,55,196,304,233,351
ENSG00000286989.1,17,8,12,3,6,0,49,31,27
ENSG00000272106.1,131,83,75,74,95,137,148,127,126
ENSG00000197530.13,1961,1682,1643,1399,741,1086,1163,975,912
ENSG00000189409.14,0,0,0,0,0,0,0,2,0
ENSG00000248333.9,711,577,379,621,752,665,677,659,778
ENSG00000272004.1,0,0,0,0,0,1,0,0,0
ENSG00000189339.12,1248,938,465,1535,1208,1795,2157,1795,1938
ENSG00000269737.2,17,32,11,26,7,18,27,22,38
ENSG00000215914.4,0,0,0,0,0,0,0,0,0
ENSG00000008128.23,44,45,48,28,24,41,66,45,61
ENSG00000268575.1,44,31,6,18,23,34,56,35,31
ENSG00000227775.3,35,83,139,107,22,31,71,33,25
ENSG00000290854.1,27,22,38,22,23,52,24,27,39
ENSG00000215790.9,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,1639,1509,1190,1870,1415,1864,5234,4932,6226
ENSG00000078369.19,15187,15986,14344,13695,18506,18536,21903,19234,21230
ENSG00000231050.3,10,6,1,4,5,5,4,7,6
ENSG00000169885.10,39,53,42,26,8,28,18,22,8
ENSG00000178821.13,2,1,0,2,2,2,4,0,0
ENSG00000142609.20,0,2,0,0,0,0,0,0,0
ENSG00000233542.2,0,0,0,0,0,0,0,0,0
ENSG00000187730.9,0,0,0,0,0,0,0,0,0
ENSG00000226969.1,0,0,0,0,0,0,0,0,0
ENSG00000067606.17,13,19,3,9,12,2,11,7,4
ENSG00000271806.1,0,0,0,0,0,1,0,0,0
ENSG00000182873.5,23,20,21,14,20,27,6,7,5
ENSG00000162585.17,898,1013,767,938,905,1011,870,665,606
ENSG00000234396.3,2,1,0,0,0,2,4,0,0
ENSG00000157933.11,4770,4017,4021,5055,4080,6413,3518,3157,4087
ENSG00000287356.1,74,49,46,66,14,32,37,19,14
ENSG00000116151.14,79,111,112,143,95,146,84,58,44
ENSG00000272161.1,1,0,0,0,0,0,0,0,0
ENSG00000269896.2,18,40,17,58,26,30,38,47,25
ENSG00000272420.1,2,2,0,0,0,2,0,4,0
ENSG00000157916.20,4637,4684,3949,3604,4605,4172,3675,3016,3529
ENSG00000157911.11,450,417,383,379,455,601,369,262,387
ENSG00000149527.18,1,0,1,0,4,2,2,0,0
ENSG00000224387.1,0,0,0,0,0,0,0,0,0
ENSG00000229393.1,0,0,0,0,0,0,0,0,0
ENSG00000157881.16,2,0,0,0,2,0,0,18,0
ENSG00000197921.6,0,0,0,0,0,0,0,0,0
ENSG00000272449.3,0,0,0,0,0,0,0,0,0
ENSG00000238164.6,0,0,0,0,0,0,0,0,0
ENSG00000157873.18,4,26,0,0,0,0,568,14,5
ENSG00000225931.3,0,0,0,0,0,0,0,0,0
ENSG00000228037.1,0,0,0,0,0,0,0,0,0
ENSG00000289610.2,0,0,0,0,0,0,0,0,0
ENSG00000157870.17,0,0,4,0,0,0,4,0,0
ENSG00000142606.16,0,0,0,0,0,0,0,0,0
ENSG00000237058.1,0,0,0,0,0,0,0,0,0
ENSG00000215912.13,0,0,0,0,0,0,0,0,0
ENSG00000285945.1,0,0,0,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,0,0
ENSG00000177133.14,67,65,108,122,112,171,8,4,0
ENSG00000142611.17,327,224,259,503,482,691,25,12,6
ENSG00000283572.1,0,0,0,0,0,0,0,0,0
ENSG00000226286.1,0,1,0,0,7,2,0,0,0
ENSG00000279839.1,0,2,0,0,0,0,0,0,0
ENSG00000272235.1,28,14,26,33,72,91,0,0,0
ENSG00000287828.1,17,13,13,20,25,53,1,0,0
ENSG00000286518.1,450,193,66,48,315,350,4,0,0
ENSG00000130762.15,61,49,40,4,16,25,50,46,56
ENSG00000272088.1,14,13,18,0,0,6,1,0,0
ENSG00000162591.17,15130,16798,11970,7363,3660,10285,2944,2887,2882
ENSG00000207776.1,0,0,0,0,0,0,0,0,0
ENSG00000238260.3,12,20,10,12,14,0,21,13,18
ENSG00000158109.15,2868,2873,2037,2426,2260,3328,2572,2082,2341
ENSG00000116213.16,532,499,431,650,421,626,662,646,666
ENSG00000078900.15,4,2,2,0,0,0,0,8,13
ENSG00000227589.1,0,0,0,0,0,0,0,0,0
ENSG00000235131.1,0,0,0,0,0,0,0,0,0
ENSG00000227372.12,1023,957,795,1194,641,765,1172,1032,1040
ENSG00000276189.1,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,0,1,0,0,0,0,0,0,1
ENSG00000235169.11,0,0,1,8,8,1,6,4,13
ENSG00000130764.10,1165,1104,937,1047,1219,1401,1058,983,1264
ENSG00000266075.2,0,1,2,7,0,6,0,1,0
ENSG00000272153.1,15,21,7,11,5,3,17,11,10
ENSG00000116198.14,1254,1370,1117,1174,1342,1503,1624,1441,1360
ENSG00000169598.17,166,170,152,211,136,172,269,212,276
ENSG00000198912.12,630,678,544,724,539,638,748,655,690
ENSG00000236423.8,18,28,13,4,4,17,26,12,6
ENSG00000233304.7,0,1,0,0,0,0,0,0,0
ENSG00000226374.3,0,1,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,0,0,0,0,0,0
ENSG00000284703.1,0,0,0,0,0,0,0,0,0
ENSG00000229280.1,0,0,0,0,0,1,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0,0,0
